source,label,target,type,id,kind,weight
Pilatus,GEHEN,Scena,directed,e100,geht,
Primus Miles,GEHEN,Scena,directed,e101,gehen,
Secundus Miles,GEHEN,Scena,directed,e102,gehen,
Tertius Miles,GEHEN,Scena,directed,e103,gehen,
Quartus Miles,GEHEN,Scena,directed,e104,gehen,
Expositor,SPRECHEN,Spectantes,directed,e105,spricht,
Pilatus,SINGEN,Spectantes,directed,e106,singt,
Servus,SPRECHEN,Pilatus,directed,e107,antwortet,
Primus Judaeus,SINGEN,Spectantes,directed,e108,singt,
Secundus Judaeus,SINGEN,Spectantes,directed,e109,singt,
Tertius Judaeus,SINGEN,Spectantes,directed,e110,singt,
Quartus Judaeus,SINGEN,Spectantes,directed,e111,singt,
Quintus Judaeus,SINGEN,Spectantes,directed,e112,singt,
Primus Judaeus,SINGEN,Ignotus,directed,e113,singt,
Primus Judaeus,SPRECHEN,Primus Judaeus,directed,e114,spricht,
Primus Judaeus,SPRECHEN,Secundus Judaeus,directed,e115,spricht,
Primus Judaeus,SPRECHEN,Tertius Judaeus,directed,e116,spricht,
Primus Judaeus,SPRECHEN,Quartus Judaeus,directed,e117,spricht,
Primus Judaeus,SPRECHEN,Quintus Judaeus,directed,e118,spricht,
Secundus Judaeus,SPRECHEN,Primus Judaeus,directed,e119,spricht,
Primus Judaeus,GEHEN,Pilatus,directed,e120,geht zu,
Secundus Judaeus,GEHEN,Pilatus,directed,e121,geht zu,
Tertius Judaeus,GEHEN,Pilatus,directed,e122,geht zu,
Quartus Judaeus,GEHEN,Pilatus,directed,e123,geht zu,
Quintus Judaeus,GEHEN,Pilatus,directed,e124,geht zu,
Primus Judaeus,SINGEN,Spectantes,directed,e125,singt,
Secundus Judaeus,SINGEN,Spectantes,directed,e126,singt,
Tertius Judaeus,SINGEN,Spectantes,directed,e127,singt,
Quartus Judaeus,SINGEN,Spectantes,directed,e128,singt,
Quintus Judaeus,SINGEN,Spectantes,directed,e129,singt,
Primus Judaeus,VERBEUGEN,Pilatus,directed,e130,verbeugt sich vor,
Secundus Judaeus,VERBEUGEN,Pilatus,directed,e131,verbeugt sich vor,
Tertius Judaeus,VERBEUGEN,Pilatus,directed,e132,verbeugt sich vor,
Quartus Judaeus,VERBEUGEN,Pilatus,directed,e133,verbeugt sich vor,
Quintus Judaeus,VERBEUGEN,Pilatus,directed,e134,verbeugt sich vor,
Pilatus,SPRECHEN,Primus Judaeus,directed,e135,spricht,
Pilatus,SPRECHEN,Secundus Judaeus,directed,e136,spricht,
Pilatus,SPRECHEN,Tertius Judaeus,directed,e137,spricht,
Pilatus,SPRECHEN,Quartus Judaeus,directed,e138,spricht,
Pilatus,SPRECHEN,Quintus Judaeus,directed,e139,spricht,
Tertius Judaeus,SPRECHEN,Pilatus,directed,e140,spricht,
Pilatus,SPRECHEN,Primus Judaeus,directed,e141,spricht,
Pilatus,SPRECHEN,Secundus Judaeus,directed,e142,spricht,
Pilatus,SPRECHEN,Tertius Judaeus,directed,e143,spricht,
Pilatus,SPRECHEN,Quartus Judaeus,directed,e144,spricht,
Pilatus,SPRECHEN,Quintus Judaeus,directed,e145,spricht,
Quartus Judaeus,SPRECHEN,Pilatus,directed,e146,spricht,
Pilatus,SPRECHEN,Nuntius,directed,e147,spricht,
Nuntius,SPRECHEN,Pilatus,directed,e148,spricht,
Nuntius,LAUFEN,Scena,directed,e149,läuft im Kreis hin und her,
Nuntius,SPRECHEN,Primus Miles,directed,e150,spricht,
Nuntius,SPRECHEN,Secundus Miles,directed,e151,spricht,
Nuntius,SPRECHEN,Tertius Miles,directed,e152,spricht,
Nuntius,SPRECHEN,Quartus Miles,directed,e153,spricht,
Primus Miles,SPRECHEN,Nuntius,directed,e154,spricht,
Nuntius,EILEN,Pilatus,directed,e155,eilt zurück,
Nuntius,SPRECHEN,Pilatus,directed,e156,spricht,
Pilatus,SPRECHEN,Nuntius,directed,e157,spricht,
Nuntius,SPRECHEN,Pilatus,directed,e158,spricht,
Nuntius,GEHEN,Ignotus,directed,e159,geht heraus,
Nuntius,BRINGEN,Primus Miles,directed,e160,bringt,
Nuntius,BRINGEN,Secundus Miles,directed,e161,bringt,
Nuntius,BRINGEN,Tertius Miles,directed,e162,bringt,
Nuntius,BRINGEN,Quartus Miles,directed,e163,bringt,
Primus Miles,GEHEN,Pilatus,directed,e164,geht zu,
Secundus Miles,GEHEN,Pilatus,directed,e165,geht zu,
Tertius Miles,GEHEN,Pilatus,directed,e166,geht zu,
Quartus Miles,GEHEN,Pilatus,directed,e167,geht zu,
Primus Judaeus,SINGEN,Ignotus,directed,e168,singt,
Secundus Judaeus,SINGEN,Ignotus,directed,e169,singt,
Tertius Judaeus,SINGEN,Ignotus,directed,e170,singt,
Quartus Judaeus,SINGEN,Ignotus,directed,e171,singt,
Quintus Judaeus,SINGEN,Ignotus,directed,e172,singt,
Primus Angelus,RUFEN,Spectantes,directed,e173,ruft,
Secundus Angelus,RUFEN,Spectantes,directed,e174,ruft,
Tertius Angelus,RUFEN,Spectantes,directed,e175,ruft,
Secundus Miles,SPRECHEN,Pilatus,directed,e176,spricht,
Pilatus,SPRECHEN,Secundus Miles,directed,e177,spricht,
Quintus Judaeus,SPRECHEN,Primus Miles,directed,e178,spricht,
Quintus Judaeus,SPRECHEN,Secundus Miles,directed,e179,spricht,
Quintus Judaeus,SPRECHEN,Tertius Miles,directed,e180,spricht,
Quintus Judaeus,SPRECHEN,Quartus Miles,directed,e181,spricht,
Tertius Miles,SPRECHEN,Quintus Judaeus,directed,e182,spricht,
Primus Miles,GEHEN,Sepulcrum,directed,e183,geht singend,
Secundus Miles,GEHEN,Sepulcrum,directed,e184,geht singend,
Tertius Miles,GEHEN,Sepulcrum,directed,e185,geht singend,
Quartus Miles,GEHEN,Sepulcrum,directed,e186,geht singend,
Quartus Miles,SPRECHEN,Primus Miles,directed,e187,spricht,
Quartus Miles,SPRECHEN,Secundus Miles,directed,e188,spricht,
Quartus Miles,SPRECHEN,Tertius Miles,directed,e189,spricht,
Quartus Miles,SPRECHEN,Quartus Miles,directed,e190,spricht,
Primus Miles,SPRECHEN,Primus Miles,directed,e191,spricht,
Primus Miles,SPRECHEN,Secundus Miles,directed,e192,spricht,
Primus Miles,SPRECHEN,Tertius Miles,directed,e193,spricht,
Primus Miles,SPRECHEN,Quartus Miles,directed,e194,spricht,
Primus Miles,HINLEGEN,Sepulcrum,directed,e195,legt sich nieder,
Secundus Miles,HINLEGEN,Sepulcrum,directed,e196,legt sich nieder,
Tertius Miles,HINLEGEN,Sepulcrum,directed,e197,legt sich nieder,
Quartus Miles,HINLEGEN,Sepulcrum,directed,e198,legt sich nieder,
Primus Angelus,ERSCHEINEN,Sepulcrum,directed,e199,erscheint,
Secundus Angelus,ERSCHEINEN,Sepulcrum,directed,e200,erscheint,
Tertius Angelus,ERSCHEINEN,Sepulcrum,directed,e201,erscheint,
Primus Angelus,SCHLAGEN,Primus Miles,directed,e202,schlägt nieder,
Secundus Angelus,SCHLAGEN,Secundus Miles,directed,e203,schlägt nieder,
Tertius Angelus,SCHLAGEN,Tertius Miles,directed,e204,schlägt nieder,
Primus Angelus,SPRECHEN,Ihesus,directed,e205,spricht,
Secundus Angelus,SPRECHEN,Ihesus,directed,e206,spricht,
Tertius Angelus,SPRECHEN,Ihesus,directed,e207,spricht,
Ihesus,SINGEN,Sepulcrum,directed,e208,singt,
Pilatus,SPRECHEN,Nuntius,directed,e209,spricht,
Nuntius,LAUFEN,Sepulcrum,directed,e210,läuft,
Nuntius,SPRECHEN,Primus Miles,directed,e211,spricht,
Nuntius,SPRECHEN,Secundus Miles,directed,e212,spricht,
Nuntius,SPRECHEN,Tertius Miles,directed,e213,spricht,
Nuntius,SPRECHEN,Quartus Miles,directed,e214,spricht,
Nuntius,LAUFEN,Pilatus,directed,e215,läuft,
Nuntius,SPRECHEN,Pilatus,directed,e216,spricht,
Pilatus,GEHEN,Sepulcrum,directed,e217,geht,
Nuntius,GEHEN,Sepulcrum,directed,e218,geht,
Pilatus,SPRECHEN,Primus Miles,directed,e219,spricht,
Pilatus,SPRECHEN,Secundus Miles,directed,e220,spricht,
Pilatus,SPRECHEN,Tertius Miles,directed,e221,spricht,
Pilatus,SPRECHEN,Quartus Miles,directed,e222,spricht,
Tertius Miles,SPRECHEN,Pilatus,directed,e223,spricht,
Quartus Miles,SPRECHEN,Primus Miles,directed,e224,spricht,
Quartus Miles,SPRECHEN,Secundus Miles,directed,e225,spricht,
Quartus Miles,SPRECHEN,Tertius Miles,directed,e226,spricht,
Quartus Miles,SPRECHEN,Quartus Miles,directed,e227,spricht,
Primus Miles,SPRECHEN,Secundus Miles,directed,e228,spricht,
Secundus Miles,SPRECHEN,Primus Miles,directed,e229,spricht,
Tertius Miles,SPRECHEN,Primus Miles,directed,e230,spricht,
Quartus Miles,SCHLAGEN,Primus Miles,directed,e231,prügeln,
Tertius Miles,SCHLAGEN,Secundus Miles,directed,e232,prügeln,
Secundus Miles,SCHLAGEN,Tertius Miles,directed,e233,prügeln,
Primus Miles,SCHLAGEN,Quartus Miles,directed,e234,prügeln,
Ihesus,GEHEN,Infernum,directed,e235,geht,
Primus Angelus,GEHEN,Infernum,directed,e236,geht,
Secundus Angelus,GEHEN,Infernum,directed,e237,geht,
Tertius Angelus,GEHEN,Infernum,directed,e238,geht,
Primus Angelus,SINGEN,Ignotus,directed,e239,singt,
Secundus Angelus,SINGEN,Ignotus,directed,e240,singt,
Tertius Angelus,SINGEN,Ignotus,directed,e241,singt,
Adam,SINGEN,Ihesus,directed,e242,singt,
Primus Angelus,SINGEN,Ihesus,directed,e243,singt,
Secundus Angelus,SINGEN,Ihesus,directed,e244,singt,
Tertius Angelus,SINGEN,Ihesus,directed,e245,singt,
