source,kind,target,type,id,label,id,label
n15,geht,n49,directed,e100,GEHEN,n01,Adam
n20,gehen,n49,directed,e101,GEHEN,n02,Ancilla
n32,gehen,n49,directed,e102,GEHEN,n03,Anima Infelix
n40,gehen,n49,directed,e103,GEHEN,n04,Daemones
n24,gehen,n49,directed,e104,GEHEN,n05,Diabolus
n07,spricht,n51,directed,e105,SPRECHEN,n06,Eva
n15,singt,n51,directed,e106,SINGEN,n07,Expositor
n34,antwortet,n15,directed,e107,SPRECHEN,n08,Ihesus
n19,singt,n51,directed,e108,SINGEN,n09,Iohannes
n31,singt,n51,directed,e109,SINGEN,n10,Lasterbalk
n39,singt,n51,directed,e110,SINGEN,n11,Lucifer
n23,singt,n51,directed,e111,SINGEN,n12,Mercator
n53,singt,n51,directed,e112,SINGEN,n13,Nuntius
n19,singt,n56,directed,e113,SINGEN,n14,Petrus
n19,spricht,n19,directed,e114,SPRECHEN,n15,Pilatus
n19,spricht,n31,directed,e115,SPRECHEN,n16,Prima Anima
n19,spricht,n39,directed,e116,SPRECHEN,n17,Prima Maria
n19,spricht,n23,directed,e117,SPRECHEN,n18,Primus Angelus
n19,spricht,n53,directed,e118,SPRECHEN,n19,Primus Judaeus
n31,spricht,n19,directed,e119,SPRECHEN,n20,Primus Miles
n19,geht zu,n15,directed,e120,GEHEN,n21,Pusterbalk
n31,geht zu,n15,directed,e121,GEHEN,n22,Quarta Anima
n39,geht zu,n15,directed,e122,GEHEN,n23,Quartus Judaeus
n23,geht zu,n15,directed,e123,GEHEN,n24,Quartus Miles
n53,geht zu,n15,directed,e124,GEHEN,n25,Quinta Anima
n19,singt,n51,directed,e125,SINGEN,n26,Rubin
n31,singt,n51,directed,e126,SINGEN,n27,Sathanas
n39,singt,n51,directed,e127,SINGEN,n28,Secunda Anima
n23,singt,n51,directed,e128,SINGEN,n29,Secunda Maria
n53,singt,n51,directed,e129,SINGEN,n30,Secundus Angelus
n19,verbeugt sich vor,n15,directed,e130,VERBEUGEN,n31,Secundus Judaeus
n31,verbeugt sich vor,n15,directed,e131,VERBEUGEN,n32,Secundus Miles
n39,verbeugt sich vor,n15,directed,e132,VERBEUGEN,n33,Septima Anima
n23,verbeugt sich vor,n15,directed,e133,VERBEUGEN,n34,Servus
n53,verbeugt sich vor,n15,directed,e134,VERBEUGEN,n35,Sexta Anima
n15,spricht,n19,directed,e135,SPRECHEN,n36,Tertia Anima
n15,spricht,n31,directed,e136,SPRECHEN,n37,Tertia Maria
n15,spricht,n39,directed,e137,SPRECHEN,n38,Tertius Angelus
n15,spricht,n23,directed,e138,SPRECHEN,n39,Tertius Judaeus
n15,spricht,n53,directed,e139,SPRECHEN,n40,Tertius Miles
n39,spricht,n15,directed,e140,SPRECHEN,n41,Thomas
n15,spricht,n19,directed,e141,SPRECHEN,n42,Uxor Mercatori
n15,spricht,n31,directed,e142,SPRECHEN,n43,Sepulcrum
n15,spricht,n39,directed,e143,SPRECHEN,n44,Templum Judaeum
n15,spricht,n23,directed,e144,SPRECHEN,n45,Infernum
n15,spricht,n53,directed,e145,SPRECHEN,n46,Taberna
