source,target
Pilatus,Scena
Primus Miles,Scena
Secundus Miles,Scena
Tertius Miles,Scena
Quartus Miles,Scena
Expositor,Spectantes
Pilatus,Spectantes
Servus,Pilatus
Primus Judaeus,Spectantes
Secundus Judaeus,Spectantes
Tertius Judaeus,Spectantes
Quartus Judaeus,Spectantes
Quintus Judaeus,Spectantes
Primus Judaeus,Ignotus
Primus Judaeus,Primus Judaeus
Primus Judaeus,Secundus Judaeus
Primus Judaeus,Tertius Judaeus
Primus Judaeus,Quartus Judaeus
Primus Judaeus,Quintus Judaeus
Secundus Judaeus,Primus Judaeus
Primus Judaeus,Pilatus
Secundus Judaeus,Pilatus
Tertius Judaeus,Pilatus
Quartus Judaeus,Pilatus
Quintus Judaeus,Pilatus
Primus Judaeus,Spectantes
Secundus Judaeus,Spectantes
Tertius Judaeus,Spectantes
Quartus Judaeus,Spectantes
Quintus Judaeus,Spectantes
Primus Judaeus,Pilatus
Secundus Judaeus,Pilatus
Tertius Judaeus,Pilatus
Quartus Judaeus,Pilatus
Quintus Judaeus,Pilatus
Pilatus,Primus Judaeus
Pilatus,Secundus Judaeus
Pilatus,Tertius Judaeus
Pilatus,Quartus Judaeus
Pilatus,Quintus Judaeus
Tertius Judaeus,Pilatus
Pilatus,Primus Judaeus
Pilatus,Secundus Judaeus
Pilatus,Tertius Judaeus
Pilatus,Quartus Judaeus
Pilatus,Quintus Judaeus
Quartus Judaeus,Pilatus
Pilatus,Nuntius
Nuntius,Pilatus
Nuntius,Scena
Nuntius,Primus Miles
Nuntius,Secundus Miles
Nuntius,Tertius Miles
Nuntius,Quartus Miles
Primus Miles,Nuntius
Nuntius,Pilatus
Nuntius,Pilatus
Pilatus,Nuntius
Nuntius,Pilatus
Nuntius,Ignotus
Nuntius,Primus Miles
Nuntius,Secundus Miles
Nuntius,Tertius Miles
Nuntius,Quartus Miles
Primus Miles,Pilatus
Secundus Miles,Pilatus
Tertius Miles,Pilatus
Quartus Miles,Pilatus
Primus Judaeus,Ignotus
Secundus Judaeus,Ignotus
Tertius Judaeus,Ignotus
Quartus Judaeus,Ignotus
Quintus Judaeus,Ignotus
Primus Angelus,Spectantes
Secundus Angelus,Spectantes
Tertius Angelus,Spectantes
Secundus Miles,Pilatus
Pilatus,Secundus Miles
Quintus Judaeus,Primus Miles
Quintus Judaeus,Secundus Miles
Quintus Judaeus,Tertius Miles
Quintus Judaeus,Quartus Miles
Tertius Miles,Quintus Judaeus
Primus Miles,Sepulcrum
Secundus Miles,Sepulcrum
Tertius Miles,Sepulcrum
Quartus Miles,Sepulcrum
Quartus Miles,Primus Miles
Quartus Miles,Secundus Miles
Quartus Miles,Tertius Miles
Quartus Miles,Quartus Miles
Primus Miles,Primus Miles
Primus Miles,Secundus Miles
Primus Miles,Tertius Miles
Primus Miles,Quartus Miles
Primus Miles,Sepulcrum
Secundus Miles,Sepulcrum
Tertius Miles,Sepulcrum
Quartus Miles,Sepulcrum
